symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
PC gets IP address but no DNS server.,Router is DHCP server.,Router# show ip dhcp pool -> dns-server command missing.,DHCP pool missing DNS server configuration.,Layer 7,DHCP,Low
Users can ping 8.8.8.8 but cannot open www.google.com.,PC using internal DNS server.,C:\> nslookup www.google.com -> DNS request timed out.,Internal DNS server unreachable or misconfigured.,Layer 7,DNS,Medium
Router cannot resolve hostnames for ping or telnet.,Router needs to resolve external names.,Router# show run | include ip domain-lookup -> no ip domain-lookup is configured.,Domain lookup disabled on router.,Layer 7,DNS,Low
"Internal web server unreachable by hostname, IP works.",Internal DNS used.,DNS Server -> A record points to old IP address 192.168.1.5 instead of 192.168.1.10.,Stale or incorrect DNS A record.,Layer 7,DNS,Medium
PC gets wrong DNS server via DHCP.,Router provides DHCP.,Router# show run | section dhcp -> dns-server is typed as 8.8.8.9 instead of 8.8.8.8.,Typo in DHCP dns-server configuration.,Layer 7,DNS,Medium
Branch A cannot reach Branch B.,OSPF configured on both branch routers.,RouterA# show ip ospf neighbor -> list is empty. show run -> network statement has wrong wildcard mask.,OSPF network statement misconfiguration prevents adjacency.,Layer 3,Routing,Critical
Traffic taking suboptimal path to destination.,"Dual links between routers, EIGRP running.",Router# show ip route -> route points to slower serial link. show interface -> bandwidth statement is wrong on fast link.,Incorrect bandwidth configuration affecting metric.,Layer 3,Routing,Medium
No default route propagated to internal network.,Edge router running OSPF with internal routers.,EdgeRouter# show run | section ospf -> default-information originate is missing.,Missing default-information originate command in OSPF.,Layer 3,Routing,High
Static route not appearing in routing table.,Next hop IP is 10.1.1.2.,Router# show ip route -> 10.1.1.2 is not reachable. Interface connected to next hop is down.,Static route invalid because next-hop is unreachable.,Layer 3,Routing,High
SSH access to router denied from admin PC.,VTY lines have access-class applied.,Router# show access-lists 10 -> permit 192.168.1.0 0.0.0.255. Admin PC is 10.0.0.5.,ACL denies admin PC IP address.,Layer 3/4,ACL,High
"Web traffic blocked, ping works to server.",Extended ACL applied inbound on router interface.,"Router# show access-lists 101 -> permit icmp any any, deny tcp any any eq 80, permit ip any any.",Extended ACL explicitly blocking port 80.,Layer 4,ACL,Medium
All traffic from Branch dropped at Core.,Standard ACL applied.,Core# show run interface Gi0/0 -> ip access-group 10 in. ACL 10 has no permit statements (implicit deny all).,Implicit deny all dropping traffic due to missing permit statements.,Layer 3,ACL,Critical
DHCP requests failing for clients.,ACL applied inbound on client VLAN interface.,Router# show access-lists -> denies UDP ports 67/68.,ACL blocking DHCP broadcast traffic.,Layer 4,ACL,High
Internal hosts cannot reach internet.,PAT configured on edge router.,Router# show ip nat translations -> empty. show run -> ip nat inside/outside missing on interfaces.,Missing ip nat inside/outside on interfaces.,Layer 3,NAT,Critical
External users cannot access internal web server.,Static NAT configured.,"Router# show run | include nat -> ip nat inside source static 192.168.1.10 203.0.113.5. Actually, server IP is 192.168.1.20.",Static NAT maps to wrong internal IP.,Layer 3,NAT,High
Only some internal hosts can access internet.,Dynamic NAT with pool.,Router# show ip nat statistics -> Pool exhausted. 'overload' keyword is missing.,NAT pool exhausted due to missing 'overload' keyword for PAT.,Layer 3,NAT,Medium
NAT translations failing.,Access-list used to define interesting traffic for NAT.,Router# show access-lists 1 -> permit 10.0.0.0 0.0.0.255. Internal network is 192.168.1.0/24.,NAT ACL matches wrong internal subnet.,Layer 3,NAT,High
Clients cannot associate with AP.,WLC and lightweight AP deployed.,"WLC UI -> AP not joined. Switch# show power inline -> AP drawing 0W, PoE disabled on port.",PoE not enabled on switch port connecting to AP.,Layer 1,Wireless,High
Guest Wi-Fi clients get internal IPs.,WLAN mapped to VLAN.,WLC UI -> Guest WLAN mapped to Management Interface instead of Guest Interface.,WLAN mapped to incorrect interface/VLAN on WLC.,Layer 2,Wireless,Medium
Poor wireless performance in specific area.,Multiple APs in area.,"WLC UI -> All APs on Channel 6, causing high co-channel interference.",Channel overlap/co-channel interference.,Layer 1,Wireless,Low
Clients disconnect frequently.,WPA2 Enterprise configured.,WLC UI -> RADIUS server unreachable. Radius server IP changed recently.,RADIUS server configuration on WLC points to wrong IP.,Layer 7,Wireless,High
Server cannot reach backup server in same rack.,Both servers connected to same switch.,"Switch# show interfaces trunk -> Port is in access mode, but servers need trunking for virtualization.",Switchport mode is access instead of trunk for hypervisor.,Layer 2,VLAN,Medium
No internet access for newly provisioned subnet.,NAT edge router.,Router# show ip nat translations -> No entries for new subnet. ACL 1 (NAT) does not include new subnet.,NAT ACL needs updating to include new subnet.,Layer 3,NAT,High
